Course_ID,Teaching_Methodology,Weighted_Performance,Workload_Satisfaction,Class
C0161,CASE,0.548,7.9,TOP
C0095,PRBL,0.524,7.5,TOP
C0197,CASE,0.348,4.2,BOTTOM
C0069,PJBL,0.424,5.0,BOTTOM
C0020,LECT,0.578,7.6,TOP
C0135,FLIP,0.546,9.0,TOP
C0164,CASE,0.57,8.4,TOP
C0169,CASE,0.599,9.4,TOP
C0115,PRBL,0.413,4.3,BOTTOM
C0179,CASE,0.549,8.6,TOP
C0012,LECT,0.569,7.4,TOP
C0057,PJBL,0.557,8.5,TOP
C0187,CASE,0.359,3.5,BOTTOM
C0116,PRBL,0.391,4.4,BOTTOM
C0128,FLIP,0.483,9.3,TOP
C0102,PRBL,0.43,3.7,BOTTOM
C0127,FLIP,0.541,9.4,TOP
C0105,PRBL,0.41,3.7,BOTTOM
C0174,CASE,0.571,8.9,TOP
C0131,FLIP,0.531,9.3,TOP
C0030,LECT,0.377,4.3,BOTTOM
C0033,LECT,0.394,5.2,BOTTOM
C0052,PJBL,0.562,8.8,TOP
C0114,PRBL,0.393,4.0,BOTTOM
