Student_ID,Professor_ID,Student_Gender,Professor_Gender,Faculty,Satisfaction_Score
S01247,P072,Female,Male,Law,7.8
S02050,P119,Male,Female,Translation,7.2
S01360,P077,Female,Male,Law,6.9
S00764,P046,Male,Male,Engineering,8.2
S01530,P087,Female,Female,Humanities,8.7
S00475,P029,Female,Male,Economics,6.5
S02072,P120,Male,Female,Translation,9.4
S01789,P104,Male,Male,Humanities,9.2
S01025,P061,Female,Female,Law,10.0
S01267,P072,Male,Male,Law,8.0
S00051,P003,Female,Female,Economics,6.8
S01420,P080,Female,Female,Humanities,10.0
S00967,P058,Female,Female,Law,7.5
S00132,P007,Female,Female,Economics,7.8
S00028,P002,Female,Female,Economics,7.6
S00461,P027,Male,Male,Economics,5.2
S01177,P067,Male,Male,Law,8.7
S01812,P106,Female,Female,Translation,6.6
S01202,P069,Female,Male,Law,6.8
S01235,P071,Female,Male,Law,8.7
S01199,P069,Female,Male,Law,5.4
S02189,P126,Female,Male,Translation,7.4
S01009,P060,Female,Female,Law,10.0
S02107,P122,Female,Male,Translation,7.3
S01966,P115,Male,Female,Translation,7.8
S00783,P047,Male,Male,Engineering,10.0
S01320,P075,Female,Male,Law,7.6
S00301,P017,Male,Male,Economics,7.4
S00750,P045,Female,Male,Engineering,7.9
S00490,P030,Female,Male,Economics,5.9
S00770,P046,Male,Male,Engineering,9.9
S02024,P118,Male,Female,Translation,9.0
S01315,P075,Female,Male,Law,7.8
S00157,P009,Female,Female,Economics,8.2
S00948,P056,Male,Male,Engineering,6.9
S02131,P123,Female,Male,Translation,6.6
S00251,P015,Female,Male,Economics,8.5
S01827,P107,Female,Female,Translation,9.4
S01495,P085,Male,Female,Humanities,10.0
S02096,P121,Female,Male,Translation,8.5
S02218,P127,Female,Male,Translation,8.0
S02220,P128,Female,Male,Translation,6.9
S01737,P100,Male,Male,Humanities,7.5
S01808,P106,Female,Female,Translation,7.1
S00421,P025,Female,Male,Economics,4.8
S00229,P014,Female,Male,Economics,7.5
S01135,P065,Female,Female,Law,7.5
S00634,P039,Female,Male,Engineering,7.5
S01128,P065,Female,Female,Law,8.8
S00567,P034,Female,Female,Engineering,6.7
S01826,P107,Female,Female,Translation,8.4
S00666,P040,Male,Male,Engineering,8.7
S01787,P104,Male,Male,Humanities,8.1
S00674,P041,Female,Male,Engineering,8.4
S00568,P034,Male,Female,Engineering,6.1
S01170,P066,Male,Female,Law,8.7
S01219,P070,Female,Male,Law,5.9
S00993,P059,Male,Female,Law,7.5
S01518,P087,Female,Female,Humanities,9.4
S02157,P125,Female,Male,Translation,8.0
S02160,P125,Female,Male,Translation,7.0
S01599,P090,Male,Female,Humanities,7.1
S01351,P077,Female,Male,Law,6.8
S00740,P044,Male,Male,Engineering,6.9
S00976,P058,Female,Female,Law,8.1
S00981,P058,Male,Female,Law,7.5
S00062,P004,Female,Female,Economics,7.5
S00629,P039,Female,Male,Engineering,6.9
S01517,P086,Male,Female,Humanities,9.8
S01476,P083,Male,Female,Humanities,6.4
S01266,P072,Female,Male,Law,10.0
S01751,P102,Female,Male,Humanities,9.5
S01279,P074,Female,Male,Law,8.3
S01853,P109,Male,Female,Translation,6.6
S01438,P081,Female,Female,Humanities,8.4
S01785,P104,Male,Male,Humanities,8.1
S01270,P073,Female,Male,Law,8.7
S00751,P045,Female,Male,Engineering,8.9
S00507,P030,Male,Male,Economics,7.9
S01580,P090,Female,Female,Humanities,7.0
S02005,P117,Male,Female,Translation,8.4
S01572,P089,Male,Female,Humanities,7.6
S01108,P064,Female,Female,Law,7.8
S00923,P056,Female,Male,Engineering,6.7
S00513,P031,Female,Female,Engineering,8.2
S00235,P014,Male,Male,Economics,7.5
S00331,P019,Female,Male,Economics,5.6
S01745,P101,Male,Male,Humanities,8.2
S01942,P113,Male,Female,Translation,5.1
S00713,P043,Male,Male,Engineering,7.2
S02025,P118,Male,Female,Translation,9.4
S00626,P039,Female,Male,Engineering,7.8
S01058,P062,Male,Female,Law,7.6
S01944,P114,Female,Female,Translation,8.4
S00533,P032,Male,Female,Engineering,6.6
S02037,P119,Female,Female,Translation,5.8
S02183,P126,Female,Male,Translation,7.7
S00557,P034,Female,Female,Engineering,6.2
S01858,P110,Female,Female,Translation,8.2
S01726,P100,Male,Male,Humanities,9.1
S01638,P093,Female,Female,Humanities,9.0
S02003,P117,Male,Female,Translation,8.9
S00180,P010,Female,Female,Economics,6.1
S00688,P041,Male,Male,Engineering,10.0
S00958,P057,Male,Female,Law,9.2
S01508,P086,Female,Female,Humanities,7.8
S00408,P024,Female,Male,Economics,7.0
S01110,P064,Female,Female,Law,9.5
S01506,P085,Male,Female,Humanities,9.2
S01117,P064,Male,Female,Law,9.4
S01712,P099,Male,Male,Humanities,5.2
S01536,P087,Male,Female,Humanities,7.6
S01755,P102,Female,Male,Humanities,7.0
S02087,P121,Female,Male,Translation,7.6
S01016,P060,Female,Female,Law,8.9
S00321,P018,Male,Male,Economics,7.1
S00491,P030,Female,Male,Economics,5.9
S01196,P069,Female,Male,Law,6.3
S00460,P027,Male,Male,Economics,5.2
S01885,P111,Female,Female,Translation,6.6
S00293,P017,Male,Male,Economics,7.7
S02090,P121,Female,Male,Translation,10.0
S01483,P084,Male,Female,Humanities,8.1
S00270,P016,Female,Male,Economics,7.4
S00523,P032,Female,Female,Engineering,6.9
S01352,P077,Female,Male,Law,6.8
S01007,P060,Female,Female,Law,7.0
S00058,P003,Male,Female,Economics,6.0
S01613,P091,Male,Female,Humanities,7.5
S01538,P088,Female,Female,Humanities,7.3
S01852,P109,Male,Female,Translation,7.0
S02020,P118,Male,Female,Translation,8.2
S00317,P018,Female,Male,Economics,8.0
S01584,P090,Male,Female,Humanities,6.3
S00025,P002,Female,Female,Economics,6.7
S01696,P097,Male,Male,Humanities,6.6
S01870,P110,Female,Female,Translation,9.1
S01466,P082,Male,Female,Humanities,6.4
S00651,P040,Female,Male,Engineering,8.6
S00692,P042,Female,Male,Engineering,8.2
S00644,P039,Male,Male,Engineering,7.4
S00825,P050,Male,Male,Engineering,9.3
S00063,P004,Female,Female,Economics,7.3
S01293,P074,Male,Male,Law,7.1
S00083,P005,Female,Female,Economics,8.8
S01041,P061,Male,Female,Law,9.7
S00085,P005,Female,Female,Economics,7.5
S02237,P128,Female,Male,Translation,7.3
S00427,P026,Female,Male,Economics,5.6
S01431,P081,Female,Female,Humanities,9.9
S02195,P126,Female,Male,Translation,8.8
S00592,P037,Female,Male,Engineering,9.6
S01501,P085,Male,Female,Humanities,9.8
S02216,P127,Female,Male,Translation,8.6
S00228,P014,Female,Male,Economics,7.9
S00053,P003,Female,Female,Economics,5.2
S01607,P091,Female,Female,Humanities,6.3
S02057,P120,Female,Female,Translation,6.0
S00469,P028,Male,Male,Economics,7.0
S00181,P010,Female,Female,Economics,8.5
S00876,P054,Female,Male,Engineering,7.7
S00364,P021,Female,Male,Economics,9.0
S01465,P082,Male,Female,Humanities,7.0
S00034,P002,Male,Female,Economics,6.6
S02206,P127,Female,Male,Translation,7.9
S00493,P030,Female,Male,Economics,6.4
S02226,P128,Female,Male,Translation,8.6
S00279,P016,Male,Male,Economics,8.3
S02097,P121,Female,Male,Translation,6.2
S02016,P118,Female,Female,Translation,10.0
S00316,P018,Female,Male,Economics,8.3
S01738,P100,Male,Male,Humanities,5.1
S00138,P007,Male,Female,Economics,8.1
S00150,P008,Female,Female,Economics,9.8
S00705,P042,Female,Male,Engineering,6.6
S00045,P002,Male,Female,Economics,5.3
S01735,P100,Male,Male,Humanities,6.1
S01503,P085,Male,Female,Humanities,9.5
S00108,P006,Female,Female,Economics,9.3
S01421,P080,Female,Female,Humanities,10.0
S00391,P022,Male,Male,Economics,8.4
S00455,P027,Female,Male,Economics,5.8
S00471,P028,Male,Male,Economics,7.3
S01148,P066,Female,Female,Law,9.3
S01967,P115,Male,Female,Translation,7.3
S00363,P021,Female,Male,Economics,7.8
S00649,P040,Female,Male,Engineering,8.6
S00479,P029,Female,Male,Economics,6.0
S01339,P076,Male,Male,Law,7.7
S02147,P124,Male,Male,Translation,7.6
S01167,P066,Male,Female,Law,7.9
S00256,P015,Male,Male,Economics,7.0
S00219,P013,Female,Male,Economics,10.0
S00909,P055,Female,Male,Engineering,8.3
S00269,P016,Female,Male,Economics,6.0
S01621,P092,Female,Female,Humanities,8.1
S00186,P010,Male,Female,Economics,8.4
S01694,P097,Male,Male,Humanities,6.0
S01817,P106,Male,Female,Translation,6.7
S00878,P054,Female,Male,Engineering,8.3
S01317,P075,Female,Male,Law,9.2
S01949,P114,Female,Female,Translation,7.0
S00227,P014,Female,Male,Economics,7.2
S01746,P101,Male,Male,Humanities,7.3
S00350,P020,Female,Male,Economics,4.5
S00036,P002,Male,Female,Economics,4.7
S01249,P072,Female,Male,Law,8.0
S01570,P089,Male,Female,Humanities,6.7
S02036,P119,Female,Female,Translation,6.8
S02227,P128,Female,Male,Translation,8.4
S00040,P002,Male,Female,Economics,6.2
S01794,P105,Female,Male,Humanities,7.4
S00436,P026,Male,Male,Economics,5.8
S00577,P035,Male,Female,Engineering,9.1
S00224,P013,Female,Male,Economics,7.2
S01153,P066,Female,Female,Law,8.9
S00207,P012,Female,Male,Economics,6.8
S00009,P001,Male,Female,Economics,7.1
S01936,P113,Male,Female,Translation,5.6
S01996,P117,Male,Female,Translation,8.4
S00098,P005,Male,Female,Economics,8.5
S00110,P006,Female,Female,Economics,10.0
S01145,P065,Male,Female,Law,7.9
S01428,P080,Male,Female,Humanities,10.0
S01866,P110,Female,Female,Translation,8.3
S00520,P032,Female,Female,Engineering,6.8
S01614,P091,Male,Female,Humanities,8.6
S01984,P116,Male,Female,Translation,8.7
S01527,P087,Female,Female,Humanities,7.5
S01436,P081,Female,Female,Humanities,8.1
S00412,P024,Female,Male,Economics,6.0
S00643,P039,Male,Male,Engineering,7.7
S00202,P011,Male,Female,Economics,6.6
S01856,P109,Male,Female,Translation,6.8
S01626,P092,Male,Female,Humanities,7.8
S00192,P011,Female,Female,Economics,7.3
S00637,P039,Female,Male,Engineering,7.3
S00622,P038,Male,Male,Engineering,4.8
S00407,P023,Male,Male,Economics,10.0
S01491,P085,Female,Female,Humanities,9.3
S02164,P125,Female,Male,Translation,8.4
S02121,P123,Female,Male,Translation,8.9
S00779,P047,Female,Male,Engineering,6.3
S01886,P111,Female,Female,Translation,7.4
S01400,P079,Female,Male,Law,8.8
S01753,P102,Female,Male,Humanities,9.5
S02219,P127,Male,Male,Translation,7.4
S01093,P064,Female,Female,Law,7.0
S01099,P064,Female,Female,Law,8.1
S02047,P119,Male,Female,Translation,5.2
S01896,P111,Male,Female,Translation,7.5
S01848,P109,Male,Female,Translation,5.3
S00497,P030,Female,Male,Economics,7.3
S01312,P075,Female,Male,Law,8.4
S00348,P020,Female,Male,Economics,5.1
S01471,P083,Female,Female,Humanities,7.8
S00746,P045,Female,Male,Engineering,8.0
S01138,P065,Female,Female,Law,8.1
S01081,P063,Male,Female,Law,8.3
S00178,P010,Female,Female,Economics,7.2
S01269,P073,Female,Male,Law,7.7
S02221,P128,Female,Male,Translation,7.6
S01332,P076,Female,Male,Law,7.9
S00501,P030,Female,Male,Economics,8.2
S00026,P002,Female,Female,Economics,6.8
S00130,P007,Female,Female,Economics,7.2
S01101,P064,Female,Female,Law,9.6
S02139,P124,Female,Male,Translation,7.8
S00021,P002,Female,Female,Economics,6.4
S01938,P113,Male,Female,Translation,5.8
S01715,P099,Male,Male,Humanities,8.4
S01368,P077,Female,Male,Law,6.8
S01987,P117,Female,Female,Translation,10.0
S00720,P044,Female,Male,Engineering,7.7
S01405,P079,Female,Male,Law,5.7
S01032,P061,Male,Female,Law,8.6
S00696,P042,Female,Male,Engineering,8.6
S01525,P087,Female,Female,Humanities,8.2
S00863,P053,Male,Male,Engineering,10.0
S01532,P087,Male,Female,Humanities,7.7
S01583,P090,Female,Female,Humanities,7.5
S02240,P128,Female,Male,Translation,8.4
S00494,P030,Female,Male,Economics,8.2
S01361,P077,Female,Male,Law,7.3
S01497,P085,Male,Female,Humanities,8.2
S00187,P011,Female,Female,Economics,6.3
S00435,P026,Male,Male,Economics,6.3
S00413,P024,Female,Male,Economics,7.3
S00678,P041,Male,Male,Engineering,7.6
S01510,P086,Female,Female,Humanities,6.1
S00996,P059,Male,Female,Law,6.2
S00278,P016,Male,Male,Economics,7.2
S01490,P085,Female,Female,Humanities,10.0
S00395,P023,Female,Male,Economics,10.0
S00018,P002,Female,Female,Economics,6.5
S01160,P066,Male,Female,Law,7.3
S01232,P070,Male,Male,Law,6.6
S01565,P089,Female,Female,Humanities,6.5
S02128,P123,Female,Male,Translation,7.2
S01981,P116,Male,Female,Translation,8.4
S00512,P031,Female,Female,Engineering,9.9
S01305,P075,Female,Male,Law,8.4
S00630,P039,Female,Male,Engineering,8.7
S00658,P040,Male,Male,Engineering,8.3
S01728,P100,Male,Male,Humanities,5.8
S00694,P042,Female,Male,Engineering,7.6
S01793,P105,Female,Male,Humanities,6.9
S00960,P057,Male,Female,Law,6.5
S00991,P059,Female,Female,Law,6.1
S01729,P100,Male,Male,Humanities,4.7
S01752,P102,Female,Male,Humanities,10.0
S00485,P029,Male,Male,Economics,6.5
S00117,P006,Female,Female,Economics,8.5
S00608,P038,Female,Male,Engineering,7.5
S00445,P027,Female,Male,Economics,7.2
S00754,P045,Male,Male,Engineering,7.1
S00044,P002,Male,Female,Economics,5.7
S01049,P061,Male,Female,Law,9.0
S01762,P102,Male,Male,Humanities,9.7
S01463,P082,Male,Female,Humanities,7.9
S00861,P053,Male,Male,Engineering,8.5
S00210,P012,Male,Male,Economics,4.5
S01328,P076,Female,Male,Law,6.2
S00850,P053,Female,Male,Engineering,9.9
S00128,P007,Female,Female,Economics,7.6
S01665,P095,Female,Female,Humanities,9.1
S02151,P124,Male,Male,Translation,7.1
S02076,P120,Male,Female,Translation,7.6
S00011,P001,Male,Female,Economics,5.9
S00318,P018,Male,Male,Economics,7.7
S01502,P085,Male,Female,Humanities,9.9
S00266,P016,Female,Male,Economics,7.7
S01803,P105,Female,Male,Humanities,7.0
S00926,P056,Female,Male,Engineering,5.7
S01910,P112,Female,Female,Translation,5.9
S01429,P080,Male,Female,Humanities,10.0
S00136,P007,Male,Female,Economics,6.9
S01036,P061,Male,Female,Law,9.0
S02069,P120,Male,Female,Translation,8.5
S00209,P012,Male,Male,Economics,6.6
S01477,P084,Female,Female,Humanities,7.7
S00052,P003,Female,Female,Economics,9.2
S00280,P016,Male,Male,Economics,7.6
S02238,P128,Female,Male,Translation,6.5
S01418,P080,Female,Female,Humanities,9.2
S01084,P063,Male,Female,Law,8.7
S02060,P120,Female,Female,Translation,8.2
S00483,P029,Male,Male,Economics,5.1
S00748,P045,Female,Male,Engineering,6.4
S00322,P018,Male,Male,Economics,8.0
S01231,P070,Male,Male,Law,6.9
S00126,P006,Male,Female,Economics,8.3
S02082,P121,Female,Male,Translation,7.0
S00860,P053,Male,Male,Engineering,7.8
S01551,P088,Male,Female,Humanities,6.9
S00240,P014,Male,Male,Economics,7.5
S02125,P123,Female,Male,Translation,6.9
S01658,P095,Female,Female,Humanities,7.9
S00607,P038,Female,Male,Engineering,8.1
S01096,P064,Female,Female,Law,9.3
S01459,P082,Female,Female,Humanities,8.6
S00819,P050,Female,Male,Engineering,8.7
S00365,P021,Female,Male,Economics,7.4
S00767,P046,Male,Male,Engineering,6.6
S01534,P087,Male,Female,Humanities,8.0
S01705,P098,Male,Male,Humanities,9.2
S01939,P113,Male,Female,Translation,6.1
S01127,P065,Female,Female,Law,8.3
S01163,P066,Male,Female,Law,8.3
S01740,P100,Male,Male,Humanities,7.4
S01201,P069,Female,Male,Law,6.2
S01430,P081,Female,Female,Humanities,8.3
S01778,P103,Male,Male,Humanities,8.0
S00165,P009,Female,Female,Economics,7.8
S00529,P032,Female,Female,Engineering,7.8
S01999,P117,Male,Female,Translation,10.0
S00448,P027,Female,Male,Economics,7.7
S00206,P012,Female,Male,Economics,6.9
S00105,P006,Female,Female,Economics,8.7
S00231,P014,Female,Male,Economics,7.6
S00272,P016,Female,Male,Economics,7.4
S01908,P112,Female,Female,Translation,4.5
S01094,P064,Female,Female,Law,7.7
S01137,P065,Female,Female,Law,7.7
S00174,P009,Male,Female,Economics,7.5
S00488,P029,Male,Male,Economics,6.2
S01792,P104,Male,Male,Humanities,9.6
S00465,P028,Female,Male,Economics,9.1
S00527,P032,Female,Female,Engineering,7.3
S00932,P056,Female,Male,Engineering,10.0
S00372,P021,Female,Male,Economics,10.0
S01652,P094,Female,Female,Humanities,9.2
S01629,P092,Male,Female,Humanities,7.6
S02236,P128,Female,Male,Translation,7.8
S00535,P032,Male,Female,Engineering,6.0
S00765,P046,Male,Male,Engineering,9.0
S01182,P068,Female,Male,Law,9.2
S02073,P120,Male,Female,Translation,8.9
S02178,P125,Male,Male,Translation,6.6
S01546,P088,Female,Female,Humanities,5.9
S01983,P116,Male,Female,Translation,7.5
S00933,P056,Female,Male,Engineering,6.6
S00443,P027,Female,Male,Economics,6.0
S00865,P053,Male,Male,Engineering,7.5
S01227,P070,Male,Male,Law,6.7
S00540,P032,Male,Female,Engineering,7.3
S01722,P100,Female,Male,Humanities,5.7
S01596,P090,Male,Female,Humanities,5.5
S00388,P022,Female,Male,Economics,6.3
S01644,P093,Female,Female,Humanities,8.1
S00564,P034,Female,Female,Engineering,7.8
S00405,P023,Male,Male,Economics,10.0
S02222,P128,Female,Male,Translation,8.8
S00255,P015,Male,Male,Economics,6.6
S00037,P002,Male,Female,Economics,6.9
S00289,P017,Female,Male,Economics,7.6
S00067,P004,Male,Female,Economics,6.2
S01847,P109,Female,Female,Translation,6.8
S00653,P040,Male,Male,Engineering,8.7
S00816,P050,Female,Male,Engineering,7.3
S01191,P069,Female,Male,Law,6.8
S02136,P124,Female,Male,Translation,6.4
S01060,P062,Male,Female,Law,8.7
S01008,P060,Female,Female,Law,8.9
S01835,P108,Female,Female,Translation,8.2
S01050,P062,Female,Female,Law,8.2
S00625,P038,Male,Male,Engineering,8.3
S01121,P065,Female,Female,Law,8.2
S00823,P050,Male,Male,Engineering,8.4
S01449,P081,Male,Female,Humanities,9.1
S00481,P029,Female,Male,Economics,4.9
S00191,P011,Female,Female,Economics,6.4
S00684,P041,Male,Male,Engineering,7.3
S01372,P078,Female,Male,Law,6.0
S00828,P050,Male,Male,Engineering,8.6
S00772,P047,Female,Male,Engineering,8.1
S01563,P089,Female,Female,Humanities,7.7
S00795,P048,Male,Male,Engineering,6.7
S00580,P036,Female,Male,Engineering,9.3
S01067,P063,Female,Female,Law,8.1
S00693,P042,Female,Male,Engineering,6.6
S01257,P072,Female,Male,Law,8.4
S01416,P080,Female,Female,Humanities,10.0
S01512,P086,Female,Female,Humanities,9.7
S01697,P097,Male,Male,Humanities,7.1
S00294,P017,Male,Male,Economics,8.4
S01097,P064,Female,Female,Law,9.4
S00073,P004,Male,Female,Economics,6.9
S01371,P078,Female,Male,Law,5.9
S00113,P006,Female,Female,Economics,7.3
S02175,P125,Male,Male,Translation,10.0
S01395,P079,Female,Male,Law,5.9
S00807,P049,Female,Male,Engineering,5.0
S01004,P060,Female,Female,Law,10.0
S01920,P112,Male,Female,Translation,6.1
S00536,P032,Male,Female,Engineering,7.8
S01313,P075,Female,Male,Law,8.0
S00832,P051,Female,Male,Engineering,6.5
S00189,P011,Female,Female,Economics,8.7
S01111,P064,Female,Female,Law,10.0
S00817,P050,Female,Male,Engineering,9.8
S00915,P055,Female,Male,Engineering,10.0
S01926,P113,Female,Female,Translation,7.1
S00164,P009,Female,Female,Economics,8.7
S00974,P058,Female,Female,Law,8.8
S01685,P097,Female,Male,Humanities,7.3
S01033,P061,Male,Female,Law,9.6
S01924,P113,Female,Female,Translation,6.0
S00990,P059,Female,Female,Law,5.7
S01296,P074,Male,Male,Law,7.1
S00125,P006,Female,Female,Economics,8.2
S01917,P112,Female,Female,Translation,6.9
S00869,P053,Male,Male,Engineering,7.8
S01302,P074,Male,Male,Law,6.8
S01020,P060,Male,Female,Law,10.0
S01615,P091,Male,Female,Humanities,8.4
S00919,P055,Female,Male,Engineering,7.1
S00978,P058,Female,Female,Law,9.5
S00355,P020,Male,Male,Economics,7.5
S01741,P101,Female,Male,Humanities,6.5
S01960,P115,Female,Female,Translation,8.3
S01323,P075,Female,Male,Law,7.8
S00027,P002,Female,Female,Economics,5.4
S01620,P092,Female,Female,Humanities,8.0
S01217,P070,Female,Male,Law,6.7
S00588,P036,Male,Male,Engineering,10.0
S00738,P044,Male,Male,Engineering,6.9
S00434,P026,Male,Male,Economics,7.2
S00197,P011,Male,Female,Economics,6.5
S01469,P083,Female,Female,Humanities,7.8
S01350,P077,Female,Male,Law,7.3
S02094,P121,Female,Male,Translation,8.9
S00312,P018,Female,Male,Economics,7.7
S00001,P001,Female,Female,Economics,6.5
S00883,P054,Female,Male,Engineering,9.1
S00162,P009,Female,Female,Economics,10.0
S01151,P066,Female,Female,Law,8.2
S01895,P111,Male,Female,Translation,6.4
S00220,P013,Female,Male,Economics,8.1
S02246,P128,Male,Male,Translation,8.7
S00335,P019,Male,Male,Economics,6.8
S02198,P126,Female,Male,Translation,7.9
S00771,P047,Female,Male,Engineering,10.0
S01554,P088,Male,Female,Humanities,5.7
S01952,P114,Female,Female,Translation,6.8
S01367,P077,Female,Male,Law,6.4
S02215,P127,Female,Male,Translation,8.9
S00774,P047,Female,Male,Engineering,7.8
S00574,P035,Female,Female,Engineering,8.0
S00859,P053,Female,Male,Engineering,8.2
S00685,P041,Male,Male,Engineering,9.9
S01229,P070,Male,Male,Law,6.5
S00196,P011,Female,Female,Economics,7.9
S00426,P026,Female,Male,Economics,6.6
S01575,P090,Female,Female,Humanities,6.6
S01204,P069,Female,Male,Law,5.7
S01610,P091,Male,Female,Humanities,5.4
S00404,P023,Male,Male,Economics,7.9
S01327,P076,Female,Male,Law,7.7
S02234,P128,Female,Male,Translation,7.3
S00985,P059,Female,Female,Law,6.7
S00585,P036,Male,Male,Engineering,9.5
S01492,P085,Female,Female,Humanities,10.0
S00797,P048,Male,Male,Engineering,7.4
S01772,P103,Female,Male,Humanities,7.5
S01839,P109,Female,Female,Translation,7.8
S01859,P110,Female,Female,Translation,6.6
S01105,P064,Female,Female,Law,9.7
S01307,P075,Female,Male,Law,9.8
S01600,P091,Female,Female,Humanities,8.4
S01404,P079,Female,Male,Law,6.9
S01702,P098,Male,Male,Humanities,7.8
S02011,P118,Female,Female,Translation,8.6
S00339,P019,Male,Male,Economics,6.2
S00677,P041,Male,Male,Engineering,6.1
S01855,P109,Male,Female,Translation,7.1
S01256,P072,Female,Male,Law,8.1
